Feature,Importance
Product Quantity_Top Flite Women's 2014 XL Hybrid,0.0033774152
Product Quantity_Pelican Maverick 100X Kayak,0.003317082
Product Quantity_adidas Youth Germany Black/Red Away Match Soc,0.0032508718
Product Quantity_Garmin Approach S4 Golf GPS Watch,0.0032492294
Shipping Mode_First Class,0.0032431926
Product Quantity_Bridgestone e6 Straight Distance NFL Carolina,0.003211875
Category Name_Soccer,0.0032050253
Product Quantity_Nike Women's Legend V-Neck T-Shirt,0.0031728013
Product Quantity_Hirzl Women's Hybrid Golf Glove,0.003129397
Product Quantity_Merrell Women's Grassbow Sport Waterproof Hik,0.0031111843
Product Quantity_Merrell Women's Grassbow Sport Hiking Shoe,0.0030830253
Category Name_Hunting & Shooting,0.003056266
Product Quantity_TaylorMade Women's RBZ SL Rescue,0.0029923045
Category Name_Lacrosse,0.0028601247
Product Quantity_Titleist Pro V1 High Numbers Personalized Gol,0.0028024106
Product Quantity_The North Face Women's Recon Backpack,0.0027928846
Product Quantity_ENO Atlas Hammock Straps,0.0027895237
Product Quantity_Cleveland Golf Women's 588 RTX CB Satin Chrom,0.0027848952
Product Quantity_Team Golf Texas Longhorns Putter Grip,0.0027729403
Product Quantity_Nike Men's Comfort 2 Slide,0.002731686
Category Name_Golf Shoes,0.0026662645
Product Quantity_Diamondback Boys' Insight 24 Performance Hybr,0.0026561958
Product Quantity_Team Golf St. Louis Cardinals Putter Grip,0.0026253322
Category Name_Baby ,0.0026004459
Product Quantity_Bag Boy Beverage Holder,0.002566246
Product Quantity_Total Gym 1400,0.0025340607
Product Quantity_Cleveland Golf Collegiate My Custom Wedge 588,0.0024506086
Product Quantity_insta-bed Neverflat Air Mattress,0.0023170335
Category Name_Men's Golf Clubs,0.0023070904
Category Name_Tennis & Racquet,0.0023055838
Product Quantity_Bag Boy M330 Push Cart,0.0023004313
Category Name_Fitness Accessories,0.002224506
Product Quantity_Nike Women's Free 5.0 TR FIT PRT 4 Training S,0.002223715
Product Quantity_Nike Kids' Grade School KD VI Basketball Shoe,0.002083075
Product Quantity_MDGolf Pittsburgh Penguins Putter,0.0020281624
Product Quantity_adidas Brazuca 2014 Official Match Ball,0.001984028
Product Quantity_Under Armour Women's Ignite Slide,0.0019095106
Product Quantity_Team Golf Tennessee Volunteers Putter Grip,0.0017461944
Product Quantity_Diamondback Girls' Clarity 24 Hybrid Bike 201,0.0016847653
Product Quantity_Bushnell Pro X7 Jolt Slope Rangefinder,0.0016431265
Category Name_Golf Bags & Carts,0.0016165527
Product Quantity_Ogio Race Golf Shoes,0.0015993702
Product Quantity_LIJA Women's Button Golf Dress,0.0014954169
Product Quantity_Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,0.0014648911
Product Quantity_Garmin Forerunner 910XT GPS Watch,0.0013723535
Category Name_Women's Golf Clubs,0.0010801703
Category Name_As Seen on  TV!,0.000795746
Product Quantity_SOLE E35 Elliptical,0.00075545476
Product Quantity_Children's heaters,0.0
Product Quantity_DVDs ,0.0
Product Quantity_CDs of rock,0.0
Category Name_Cameras ,0.0
Product Quantity_Dell Laptop,0.0
Shipping Mode_Same Day,0.0
Market_Pacific Asia,0.0
Product Quantity_Web Camera,0.0
Category Name_CDs ,0.0
Order Status_CLOSED,0.0
Category Name_Boxing & MMA,0.0
Product Quantity_Bowflex SelectTech 1090 Dumbbells,0.0
Category Name_Basketball,0.0
Product Quantity_Baby sweater,0.0
Product Quantity_Adult dog supplies,0.0
Shipping Mode_Standard Class,0.0
Product Quantity_Toys ,0.0
Product Quantity_Titleist Club Glove Travel Cover,0.0
Department Name_Pet Shop,0.0
Department Name_Health and Beauty ,0.0
Category Name_Sporting Goods,0.0
Category Name_Strength Training,0.0
Product Quantity_Mio ALPHA Heart Rate Monitor/Sport Watch,0.0
Category Name_Toys,0.0
Product Quantity_Men's gala suit,0.0
Product Quantity_Porcelain crafts,0.0
Product Quantity_Rock music,0.0
Product Quantity_SOLE E25 Elliptical,0.0
Product Quantity_Smart watch ,0.0
Product Quantity_Sports Books ,0.0
Product Quantity_Stiga Master Series ST3100 Competition Indoor,0.0
Product Quantity_Summer dresses,0.0
Product Quantity_Lawn mower,0.0
Product Quantity_Industrial consumer electronics,0.0
Category Name_Golf Apparel,0.0
Category Name_Garden,0.0
Category Name_Women's Clothing,0.0
Product Quantity_GolfBuddy VT3 GPS Watch,0.0
Department Name_Book Shop,0.0
Product Quantity_First aid kit,0.0
Product Quantity_Fighting video games,0.0
Total Sales per Customer,0.0
